DATE,PBEEFUSDA
1990-01-01,116.266666412354
1991-01-01,120.834332784017
1992-01-01,111.335522969564
1993-01-01,118.738223393758
1994-01-01,105.817864100138
1995-01-01,86.501792271932
1996-01-01,80.9697971343994
1997-01-01,84.1684195200602
1998-01-01,78.2949975331624
1999-01-01,83.139349872582
2000-01-01,87.7891256509191
2001-01-01,96.5407956898174
2002-01-01,95.4037711406316
2003-01-01,89.7354166666667
2004-01-01,113.907083333333
2005-01-01,118.729166666667
2006-01-01,115.635416666667
2007-01-01,118.038333333333
2008-01-01,121.103472222222
2009-01-01,119.622916666667
2010-01-01,152.474558080808
2011-01-01,183.178349194586
2012-01-01,187.942903413012
2013-01-01,183.56194644195
2014-01-01,224.058433716042
2015-01-01,200.494371118012
2016-01-01,178.208262751741
2017-01-01,191.510589983688
2018-01-01,183.557031495075
2019-01-01,209.697046944601
2020-01-01,200.435439409624
